incident_id,machine_id,machine_type,location,incident_datetime,incident_type,failure_code,failure_description,sensor_id,sensor_type,sensor_value,maintenance_type,maintenance_action,downtime_minutes,reported_by,resolved_datetime,resolution_status,cost_estimate,root_cause
INC-0070,PUMP-001,Hydraulic Pump Parker H1,Utility Room,2026-03-13 03:15:07,sensor_anomaly,SA-006,Current 30% above rated value; potential mechanical resistance increase,PUMP-001-SEN-TEMP,Oil Temperature Sensor,26.47,predictive,Performed proactive bearing replacement based on vibration trend analysis,4,CMMS-AUTO,2026-03-13 03:32:07,closed,1750.07,Progressive mechanical wear producing detectable vibration signature
INC-0071,PUMP-001,Hydraulic Pump Parker H1,Utility Room,2026-03-13 18:21:34,maintenance_event,ME-005,"Thermal imaging scan of control cabinet; tightened terminals, replaced fuse",PUMP-001-SEN-FLOW,Flow Rate Sensor,108.88,preventive,Calibrated all installed sensors against reference standards,204,MNT-002 (Kobayashi R.),2026-03-13 22:33:34,closed,451.61,Scheduled quarterly maintenance per annual maintenance calendar
INC-0072,PUMP-002,Hydraulic Pump Parker H1,Utility Room,2026-03-14 04:37:15,machine_failure,MF-002,Vibration amplitude exceeded 12 mm/s; bearing cage fracture confirmed,PUMP-002-SEN-PRES,Hydraulic Pressure Sensor,315.6,predictive,Performed proactive bearing replacement based on vibration trend analysis,191,OPR-003 (Yamamoto H.),2026-03-14 08:19:15,closed,2262.36,Power grid voltage sag event caused PLC reset and control fault
INC-0073,ROB-003,Robotic Arm KUKA KR 10,Line B,2026-03-14 09:27:09,machine_failure,MF-010,Cavitation noise and pressure fluctuation; pump efficiency dropped to 40%,ROB-003-SEN-CUR,Drive Current Sensor,21.39,corrective,Cleared spindle jam; replaced broken cutting tool; re-zeroed workpiece,146,OPR-003 (Yamamoto H.),2026-03-14 12:22:09,closed,1939.78,Operator error: incorrect tool offset entered; tool collision with fixture
INC-0074,PRESS-001,Hydraulic Press 100T,Line A,2026-03-17 02:31:43,machine_failure,MF-009,Unusual grinding noise from gearbox; inspection revealed worn gear teeth,PRESS-001-SEN-PRES,Cylinder Pressure Sensor,29.7,corrective,Replaced burnt motor winding; realigned coupling and performed test run,376,SCADA-SYSTEM,2026-03-17 09:31:43,resolved,8789.34,Age-related insulation breakdown in motor winding (10-year-old unit)
INC-0075,CONV-001,Conveyor Belt System,Line A,2026-03-18 00:45:29,machine_failure,MF-004,Main drive belt snapped under load; machine halted unexpectedly,CONV-001-SEN-VIB,Vibration Sensor,8.72,corrective,Reset PLC fault; replaced faulty I/O module (DI card slot 3),318,SCADA-SYSTEM,2026-03-18 06:23:29,closed,7707.46,Age-related insulation breakdown in motor winding (10-year-old unit)
INC-0076,CONV-002,Conveyor Belt System,Line B,2026-03-18 14:57:38,maintenance_event,ME-005,"Thermal imaging scan of control cabinet; tightened terminals, replaced fuse",CONV-002-SEN-TENS,Belt Tension Sensor,328.13,preventive,Updated PLC firmware to v3.2.1; verified all I/O signal functionality,128,MNT-001 (Sato T.),2026-03-18 17:15:38,closed,488.51,Scheduled PM as per 500-hour maintenance plan
INC-0077,COMP-001,Air Compressor Atlas Copco,Utility Room,2026-03-19 06:36:36,maintenance_event,ME-003,"Full sensor calibration, safety relay test, and emergency stop verification",COMP-001-SEN-VIB,Bearing Vibration Sensor,1.67,preventive,Calibrated all installed sensors against reference standards,76,MNT-002 (Kobayashi R.),2026-03-19 08:44:36,resolved,1108.4,Operator-initiated inspection following anomaly observation
INC-0078,ROB-003,Robotic Arm KUKA KR 10,Line B,2026-03-19 08:02:20,maintenance_event,ME-006,CMMS-triggered early maintenance based on vibration trend alert,ROB-003-SEN-POS,Position Encoder,180.87,preventive,Updated PLC firmware to v3.2.1; verified all I/O signal functionality,59,MNT-001 (Sato T.),2026-03-19 09:32:20,closed,1214.62,CMMS-generated work order based on predictive alert threshold breach
INC-0079,PRESS-002,Hydraulic Press 200T,Line B,2026-03-19 18:43:56,sensor_anomaly,SA-003,Pressure 18% below setpoint; potential minor seal weepage detected,PRESS-002-SEN-STR,Ram Stroke Position Sensor,-24.58,predictive,Early oil change triggered by particle count exceeding 18/16/13 (ISO 4406),62,OPR-002 (Suzuki M.),2026-03-19 20:30:56,closed,2211.09,Partial cable insulation damage caused by coolant splash
INC-0080,COMP-001,Air Compressor Atlas Copco,Utility Room,2026-03-20 22:29:54,machine_failure,MF-007,Coolant flow dropped to zero; machining halted to prevent thermal damage,COMP-001-SEN-VIB,Bearing Vibration Sensor,-0.2,corrective,Replaced gearbox assembly; refilled gear oil; verified noise level,477,OPR-001 (Tanaka K.),2026-03-21 06:58:54,closed,5156.21,Excessive side load on spindle during roughing operation
INC-0081,CNC-002,CNC Machining Center,Line A,2026-03-21 09:28:29,machine_failure,MF-010,Cavitation noise and pressure fluctuation; pump efficiency dropped to 40%,CNC-002-SEN-COOL,Coolant Flow Sensor,38.49,predictive,Performed proactive bearing replacement based on vibration trend analysis,393,OPR-001 (Tanaka K.),2026-03-21 16:52:29,resolved,7539.66,Age-related insulation breakdown in motor winding (10-year-old unit)
INC-0082,PUMP-002,Hydraulic Pump Parker H1,Utility Room,2026-03-21 13:29:03,maintenance_event,ME-004,Scheduled replacement of drive belt and chain per wear-life schedule,PUMP-002-SEN-VIB,Vibration Sensor,3.57,preventive,Updated PLC firmware to v3.2.1; verified all I/O signal functionality,189,MNT-002 (Kobayashi R.),2026-03-21 17:38:03,closed,303.36,Annual statutory safety inspection requirement
INC-0083,CNC-004,CNC Machining Center V2,Line B,2026-03-23 19:16:02,machine_failure,MF-010,Cavitation noise and pressure fluctuation; pump efficiency dropped to 40%,CNC-004-SEN-TEMP,Spindle Temperature Sensor,19.97,predictive,Early oil change triggered by particle count exceeding 18/16/13 (ISO 4406),70,OPR-003 (Yamamoto H.),2026-03-23 20:47:02,closed,2755.92,Power grid voltage sag event caused PLC reset and control fault
INC-0084,PUMP-001,Hydraulic Pump Parker H1,Utility Room,2026-03-23 21:39:16,maintenance_event,ME-003,"Full sensor calibration, safety relay test, and emergency stop verification",PUMP-001-SEN-TEMP,Oil Temperature Sensor,51.08,preventive,Inspected and replaced worn drive belt; adjusted belt tension to 350 N,202,CMMS-AUTO,2026-03-24 01:11:16,closed,967.47,Scheduled quarterly maintenance per annual maintenance calendar
INC-0085,ROB-002,Robotic Arm FANUC M-20,Line A,2026-03-24 11:24:23,maintenance_event,ME-006,CMMS-triggered early maintenance based on vibration trend alert,ROB-002-SEN-TEMP,Motor Temperature Sensor,67.97,preventive,Calibrated all installed sensors against reference standards,192,CMMS-AUTO,2026-03-24 15:35:23,closed,1209.7,Operator-initiated inspection following anomaly observation
INC-0086,PUMP-001,Hydraulic Pump Parker H1,Utility Room,2026-03-25 01:50:44,sensor_anomaly,SA-001,Sensor value 15% above normal range; possible early-stage overheating,PUMP-001-SEN-TEMP,Oil Temperature Sensor,26.98,predictive,Pre-emptive seal replacement after continuous pressure-drop trend detected,70,OPR-002 (Suzuki M.),2026-03-25 03:22:44,closed,2021.75,Sensor calibration drift after thermal cycling (>200 cycles since last cal.)
INC-0087,CNC-005,CNC Machining Center V2,Line B,2026-03-25 02:25:55,maintenance_event,ME-004,Scheduled replacement of drive belt and chain per wear-life schedule,CNC-005-SEN-TEMP,Spindle Temperature Sensor,52.29,preventive,Updated PLC firmware to v3.2.1; verified all I/O signal functionality,33,CMMS-AUTO,2026-03-25 03:12:55,resolved,1136.43,Scheduled PM as per 500-hour maintenance plan
INC-0088,COMP-001,Air Compressor Atlas Copco,Utility Room,2026-03-26 13:37:32,sensor_anomaly,SA-003,Pressure 18% below setpoint; potential minor seal weepage detected,COMP-001-SEN-CUR,Motor Current Sensor,2.16,predictive,Early oil change triggered by particle count exceeding 18/16/13 (ISO 4406),38,CMMS-AUTO,2026-03-26 15:14:32,closed,2822.02,Oil mist contamination of sensor housing reducing measurement accuracy
INC-0089,COMP-001,Air Compressor Atlas Copco,Utility Room,2026-03-27 03:58:35,sensor_anomaly,SA-001,Sensor value 15% above normal range; possible early-stage overheating,COMP-001-SEN-PRES,Discharge Pressure Sensor,10.92,corrective,Replaced failed bearing (SKF 6205-2RS); re-greased and verified alignment,64,CMMS-AUTO,2026-03-27 05:59:35,closed,2893.48,Sensor calibration drift after thermal cycling (>200 cycles since last cal.)
INC-0090,PUMP-001,Hydraulic Pump Parker H1,Utility Room,2026-03-28 04:26:06,maintenance_event,ME-005,"Thermal imaging scan of control cabinet; tightened terminals, replaced fuse",PUMP-001-SEN-PRES,Hydraulic Pressure Sensor,169.76,preventive,Updated PLC firmware to v3.2.1; verified all I/O signal functionality,159,MNT-002 (Kobayashi R.),2026-03-28 07:28:06,closed,1557.9,Operator-initiated inspection following anomaly observation
INC-0091,CONV-001,Conveyor Belt System,Line A,2026-03-29 12:13:00,maintenance_event,ME-005,"Thermal imaging scan of control cabinet; tightened terminals, replaced fuse",CONV-001-SEN-TENS,Belt Tension Sensor,173.11,preventive,Inspected and replaced worn drive belt; adjusted belt tension to 350 N,66,MNT-001 (Sato T.),2026-03-29 13:37:00,closed,1385.97,Scheduled quarterly maintenance per annual maintenance calendar
INC-0092,CNC-003,CNC Machining Center,Line B,2026-03-29 13:00:22,machine_failure,MF-005,Spindle locked due to chip accumulation; axis collision error E-5021,CNC-003-SEN-TEMP,Spindle Temperature Sensor,18.2,corrective,Cleared spindle jam; replaced broken cutting tool; re-zeroed workpiece,127,OPR-001 (Tanaka K.),2026-03-29 15:59:22,closed,10261.9,Coolant contamination (metal fines) clogged filter; coolant starvation
INC-0093,PRESS-002,Hydraulic Press 200T,Line B,2026-03-29 20:21:52,sensor_anomaly,SA-002,Vibration RMS increasing week-over-week; bearing wear suspected,PRESS-002-SEN-TEMP,Oil Temperature Sensor,25.68,predictive,Replaced motor insulation based on IR thermography hot-spot finding,11,OPR-001 (Tanaka K.),2026-03-29 21:05:52,closed,1948.95,Increased friction from bearing wear causing elevated current draw
INC-0094,COMP-002,Air Compressor Atlas Copco,Utility Room,2026-03-30 21:49:01,maintenance_event,ME-006,CMMS-triggered early maintenance based on vibration trend alert,COMP-002-SEN-TEMP,Discharge Air Temp Sensor,53.12,preventive,Tightened all electrical terminal blocks; replaced degraded cable ties,197,CMMS-AUTO,2026-03-31 01:23:01,closed,448.49,Operator-initiated inspection following anomaly observation
INC-0095,CNC-003,CNC Machining Center,Line B,2026-04-01 09:05:17,machine_failure,MF-009,Unusual grinding noise from gearbox; inspection revealed worn gear teeth,CNC-003-SEN-SPIN,Spindle Speed Sensor,10286.35,corrective,Replaced failed bearing (SKF 6205-2RS); re-greased and verified alignment,386,OPR-001 (Tanaka K.),2026-04-01 16:28:17,closed,12961.22,Operator error: incorrect tool offset entered; tool collision with fixture
INC-0096,ROB-004,Robotic Arm KUKA KR 10,Welding Station,2026-04-02 03:04:30,sensor_anomaly,SA-007,Encoder offset accumulating per cycle; calibration required,ROB-004-SEN-CUR,Drive Current Sensor,0.07,predictive,Performed proactive bearing replacement based on vibration trend analysis,36,SCADA-SYSTEM,2026-04-02 04:28:30,closed,2057.63,Oil mist contamination of sensor housing reducing measurement accuracy
INC-0097,CNC-003,CNC Machining Center,Line B,2026-04-02 03:36:50,machine_failure,MF-004,Main drive belt snapped under load; machine halted unexpectedly,CNC-003-SEN-COOL,Coolant Flow Sensor,38.43,corrective,Replaced hydraulic seals on main ram; pressure tested to 250 bar – no leaks,190,OPR-003 (Yamamoto H.),2026-04-02 07:23:50,closed,9230.28,Hydraulic fluid degraded beyond acceptable viscosity index
INC-0098,CNC-003,CNC Machining Center,Line B,2026-04-02 05:32:29,maintenance_event,ME-005,"Thermal imaging scan of control cabinet; tightened terminals, replaced fuse",CNC-003-SEN-COOL,Coolant Flow Sensor,22.26,preventive,Tightened all electrical terminal blocks; replaced degraded cable ties,134,CMMS-AUTO,2026-04-02 08:01:29,closed,597.31,CMMS-generated work order based on predictive alert threshold breach
INC-0099,PUMP-002,Hydraulic Pump Parker H1,Utility Room,2026-04-04 23:50:06,maintenance_event,ME-005,"Thermal imaging scan of control cabinet; tightened terminals, replaced fuse",PUMP-002-SEN-PRES,Hydraulic Pressure Sensor,177.06,preventive,Updated PLC firmware to v3.2.1; verified all I/O signal functionality,226,MNT-001 (Sato T.),2026-04-05 04:00:06,closed,1028.64,Annual statutory safety inspection requirement
INC-0100,PRESS-001,Hydraulic Press 100T,Line A,2026-04-05 04:47:05,maintenance_event,ME-005,"Thermal imaging scan of control cabinet; tightened terminals, replaced fuse",PRESS-001-SEN-TEMP,Oil Temperature Sensor,68.29,preventive,Updated PLC firmware to v3.2.1; verified all I/O signal functionality,224,MNT-002 (Kobayashi R.),2026-04-05 08:55:05,closed,469.88,Scheduled quarterly maintenance per annual maintenance calendar
INC-0101,PRESS-001,Hydraulic Press 100T,Line A,2026-04-05 22:18:55,maintenance_event,ME-006,CMMS-triggered early maintenance based on vibration trend alert,PRESS-001-SEN-TEMP,Oil Temperature Sensor,54.78,preventive,Inspected and replaced worn drive belt; adjusted belt tension to 350 N,232,CMMS-AUTO,2026-04-06 02:59:55,resolved,924.34,Scheduled quarterly maintenance per annual maintenance calendar
INC-0102,CONV-003,Roller Conveyor,Packaging Area,2026-04-06 17:56:24,machine_failure,MF-009,Unusual grinding noise from gearbox; inspection revealed worn gear teeth,CONV-003-SEN-TEMP,Motor Temperature Sensor,19.15,corrective,Replaced burnt motor winding; realigned coupling and performed test run,438,OPR-003 (Yamamoto H.),2026-04-07 01:27:24,closed,7528.56,Coolant contamination (metal fines) clogged filter; coolant starvation
INC-0103,ROB-002,Robotic Arm FANUC M-20,Line A,2026-04-07 23:42:13,maintenance_event,ME-002,Hydraulic oil sample analysis and change; all lubrication points serviced,ROB-002-SEN-POS,Position Encoder,173.07,preventive,Cleaned coolant tank; replaced coolant and checked pump operation,68,MNT-002 (Kobayashi R.),2026-04-08 01:33:13,closed,428.35,Operator-initiated inspection following anomaly observation
INC-0104,CNC-002,CNC Machining Center,Line A,2026-04-08 03:12:49,sensor_anomaly,SA-007,Encoder offset accumulating per cycle; calibration required,CNC-002-SEN-VIB,Vibration Sensor,-0.07,predictive,Pre-emptive seal replacement after continuous pressure-drop trend detected,59,OPR-001 (Tanaka K.),2026-04-08 05:11:49,closed,2063.05,Oil mist contamination of sensor housing reducing measurement accuracy
INC-0105,PRESS-001,Hydraulic Press 100T,Line A,2026-04-08 18:04:41,maintenance_event,ME-001,"Routine PM per 500 h interval: inspection, lubrication, filter replacement",PRESS-001-SEN-STR,Ram Stroke Position Sensor,291.6,preventive,Cleaned coolant tank; replaced coolant and checked pump operation,101,CMMS-AUTO,2026-04-08 19:54:41,closed,1146.9,Scheduled PM as per 500-hour maintenance plan
INC-0106,PRESS-001,Hydraulic Press 100T,Line A,2026-04-10 00:52:34,maintenance_event,ME-001,"Routine PM per 500 h interval: inspection, lubrication, filter replacement",PRESS-001-SEN-FORCE,Press Force Sensor,405.59,preventive,Performed full lubrication of all bearing points and guide rails,49,CMMS-AUTO,2026-04-10 02:39:34,closed,649.43,Scheduled quarterly maintenance per annual maintenance calendar
INC-0107,ROB-001,Robotic Arm FANUC M-20,Line A,2026-04-11 18:36:29,maintenance_event,ME-001,"Routine PM per 500 h interval: inspection, lubrication, filter replacement",ROB-001-SEN-POS,Position Encoder,129.16,preventive,Inspected and replaced worn drive belt; adjusted belt tension to 350 N,102,CMMS-AUTO,2026-04-11 21:05:29,resolved,640.76,Operator-initiated inspection following anomaly observation
INC-0108,CNC-004,CNC Machining Center V2,Line B,2026-04-12 06:38:06,maintenance_event,ME-003,"Full sensor calibration, safety relay test, and emergency stop verification",CNC-004-SEN-VIB,Vibration Sensor,4.26,preventive,Inspected and replaced worn drive belt; adjusted belt tension to 350 N,224,CMMS-AUTO,2026-04-12 10:43:06,closed,413.0,Scheduled PM as per 500-hour maintenance plan
INC-0109,COMP-002,Air Compressor Atlas Copco,Utility Room,2026-04-13 12:51:49,maintenance_event,ME-006,CMMS-triggered early maintenance based on vibration trend alert,COMP-002-SEN-CUR,Motor Current Sensor,13.2,preventive,Cleaned coolant tank; replaced coolant and checked pump operation,79,MNT-001 (Sato T.),2026-04-13 15:08:49,resolved,776.55,CMMS-generated work order based on predictive alert threshold breach
INC-0110,CNC-001,CNC Machining Center,Line A,2026-04-14 10:07:34,sensor_anomaly,SA-001,Sensor value 15% above normal range; possible early-stage overheating,CNC-001-SEN-VIB,Vibration Sensor,11.33,predictive,Pre-emptive seal replacement after continuous pressure-drop trend detected,75,OPR-001 (Tanaka K.),2026-04-14 11:44:34,closed,1626.07,EMI from adjacent inverter drive affecting analog signal quality
INC-0111,ROB-002,Robotic Arm FANUC M-20,Line A,2026-04-14 21:13:44,maintenance_event,ME-003,"Full sensor calibration, safety relay test, and emergency stop verification",ROB-002-SEN-TEMP,Motor Temperature Sensor,45.78,preventive,Inspected and replaced worn drive belt; adjusted belt tension to 350 N,234,MNT-002 (Kobayashi R.),2026-04-15 01:49:44,closed,646.07,Operator-initiated inspection following anomaly observation
INC-0112,CONV-003,Roller Conveyor,Packaging Area,2026-04-15 01:58:25,maintenance_event,ME-002,Hydraulic oil sample analysis and change; all lubrication points serviced,CONV-003-SEN-SPEED,Roller Speed Sensor,1.9,preventive,Calibrated all installed sensors against reference standards,55,MNT-001 (Sato T.),2026-04-15 03:13:25,closed,494.46,Annual statutory safety inspection requirement
INC-0113,PUMP-001,Hydraulic Pump Parker H1,Utility Room,2026-04-16 06:58:52,maintenance_event,ME-005,"Thermal imaging scan of control cabinet; tightened terminals, replaced fuse",PUMP-001-SEN-PRES,Hydraulic Pressure Sensor,148.29,preventive,Cleaned coolant tank; replaced coolant and checked pump operation,51,MNT-002 (Kobayashi R.),2026-04-16 08:11:52,closed,1806.17,Annual statutory safety inspection requirement
INC-0114,CNC-002,CNC Machining Center,Line A,2026-04-19 17:35:26,maintenance_event,ME-002,Hydraulic oil sample analysis and change; all lubrication points serviced,CNC-002-SEN-VIB,Vibration Sensor,5.69,preventive,Tightened all electrical terminal blocks; replaced degraded cable ties,62,CMMS-AUTO,2026-04-19 18:58:26,closed,1172.05,Scheduled quarterly maintenance per annual maintenance calendar
INC-0115,CNC-002,CNC Machining Center,Line A,2026-04-21 06:19:20,machine_failure,MF-001,Motor temperature exceeded 95°C; thermal protection relay activated,CNC-002-SEN-TEMP,Spindle Temperature Sensor,107.26,corrective,Replaced gearbox assembly; refilled gear oil; verified noise level,291,OPR-003 (Yamamoto H.),2026-04-21 11:28:20,closed,7667.81,Power grid voltage sag event caused PLC reset and control fault
INC-0116,CNC-003,CNC Machining Center,Line B,2026-04-21 15:45:04,machine_failure,MF-008,"X-axis servo fault; position error exceeded 0.5 mm, emergency stop",CNC-003-SEN-COOL,Coolant Flow Sensor,5.42,corrective,Replaced failed bearing (SKF 6205-2RS); re-greased and verified alignment,436,OPR-002 (Suzuki M.),2026-04-21 23:42:04,closed,1907.19,Power grid voltage sag event caused PLC reset and control fault
INC-0117,CONV-002,Conveyor Belt System,Line B,2026-04-21 22:36:20,maintenance_event,ME-005,"Thermal imaging scan of control cabinet; tightened terminals, replaced fuse",CONV-002-SEN-SPEED,Belt Speed Sensor,1.28,preventive,Cleaned coolant tank; replaced coolant and checked pump operation,31,MNT-002 (Kobayashi R.),2026-04-21 23:52:20,closed,576.25,Scheduled PM as per 500-hour maintenance plan
INC-0118,ROB-002,Robotic Arm FANUC M-20,Line A,2026-04-23 06:05:45,sensor_anomaly,SA-001,Sensor value 15% above normal range; possible early-stage overheating,ROB-002-SEN-POS,Position Encoder,-25.82,corrective,Replaced gearbox assembly; refilled gear oil; verified noise level,15,OPR-002 (Suzuki M.),2026-04-23 07:06:45,closed,1659.28,EMI from adjacent inverter drive affecting analog signal quality
INC-0119,PUMP-001,Hydraulic Pump Parker H1,Utility Room,2026-04-25 10:11:37,machine_failure,MF-005,Spindle locked due to chip accumulation; axis collision error E-5021,PUMP-001-SEN-TEMP,Oil Temperature Sensor,22.76,corrective,Replaced failed bearing (SKF 6205-2RS); re-greased and verified alignment,387,OPR-001 (Tanaka K.),2026-04-25 17:16:37,closed,4254.75,Chip accumulation not cleared due to broken chip conveyor
INC-0120,CNC-001,CNC Machining Center,Line A,2026-04-26 10:15:02,maintenance_event,ME-006,CMMS-triggered early maintenance based on vibration trend alert,CNC-001-SEN-SPIN,Spindle Speed Sensor,2581.82,preventive,Cleaned coolant tank; replaced coolant and checked pump operation,121,CMMS-AUTO,2026-04-26 13:02:02,closed,697.96,CMMS-generated work order based on predictive alert threshold breach
INC-0121,CNC-003,CNC Machining Center,Line B,2026-04-26 21:52:47,machine_failure,MF-004,Main drive belt snapped under load; machine halted unexpectedly,CNC-003-SEN-TEMP,Spindle Temperature Sensor,100.95,corrective,Repaired hydraulic pipe joint; purged air from system; tested at full pressure,206,SCADA-SYSTEM,2026-04-27 01:39:47,closed,10387.56,Operator error: incorrect tool offset entered; tool collision with fixture
INC-0122,CONV-002,Conveyor Belt System,Line B,2026-04-27 22:54:55,maintenance_event,ME-002,Hydraulic oil sample analysis and change; all lubrication points serviced,CONV-002-SEN-TEMP,Motor Temperature Sensor,42.86,preventive,Performed full lubrication of all bearing points and guide rails,177,MNT-001 (Sato T.),2026-04-28 02:18:55,closed,200.12,CMMS-generated work order based on predictive alert threshold breach
INC-0123,CNC-003,CNC Machining Center,Line B,2026-04-29 09:41:28,sensor_anomaly,SA-003,Pressure 18% below setpoint; potential minor seal weepage detected,CNC-003-SEN-COOL,Coolant Flow Sensor,6.96,corrective,Replaced failed bearing (SKF 6205-2RS); re-greased and verified alignment,45,OPR-002 (Suzuki M.),2026-04-29 10:44:28,closed,1366.46,Repeated thermal shock to sensor mount loosened connection
INC-0124,CNC-001,CNC Machining Center,Line A,2026-04-29 14:27:37,maintenance_event,ME-004,Scheduled replacement of drive belt and chain per wear-life schedule,CNC-001-SEN-SPIN,Spindle Speed Sensor,2611.94,preventive,Replaced hydraulic return filter and suction strainer; topped up fluid,150,CMMS-AUTO,2026-04-29 17:33:37,resolved,772.33,Operator-initiated inspection following anomaly observation
INC-0125,PUMP-002,Hydraulic Pump Parker H1,Utility Room,2026-05-03 08:10:20,sensor_anomaly,SA-002,Vibration RMS increasing week-over-week; bearing wear suspected,PUMP-002-SEN-FLOW,Flow Rate Sensor,8.54,predictive,Pre-emptive seal replacement after continuous pressure-drop trend detected,17,OPR-002 (Suzuki M.),2026-05-03 09:26:20,closed,1853.44,Increased friction from bearing wear causing elevated current draw
INC-0126,CNC-005,CNC Machining Center V2,Line B,2026-05-04 00:38:42,maintenance_event,ME-005,"Thermal imaging scan of control cabinet; tightened terminals, replaced fuse",CNC-005-SEN-VIB,Vibration Sensor,5.73,preventive,Cleaned coolant tank; replaced coolant and checked pump operation,135,CMMS-AUTO,2026-05-04 03:26:42,closed,677.34,Scheduled PM as per 500-hour maintenance plan
INC-0127,PRESS-002,Hydraulic Press 200T,Line B,2026-05-04 19:01:34,maintenance_event,ME-006,CMMS-triggered early maintenance based on vibration trend alert,PRESS-002-SEN-STR,Ram Stroke Position Sensor,149.75,preventive,Replaced hydraulic return filter and suction strainer; topped up fluid,220,CMMS-AUTO,2026-05-04 22:59:34,closed,791.84,Annual statutory safety inspection requirement
INC-0128,PUMP-001,Hydraulic Pump Parker H1,Utility Room,2026-05-05 08:06:16,sensor_anomaly,SA-006,Current 30% above rated value; potential mechanical resistance increase,PUMP-001-SEN-TEMP,Oil Temperature Sensor,26.22,corrective,Replaced failed power supply unit; verified stable 24 VDC output,64,OPR-001 (Tanaka K.),2026-05-05 10:08:16,closed,1879.21,Sensor calibration drift after thermal cycling (>200 cycles since last cal.)
INC-0129,PRESS-001,Hydraulic Press 100T,Line A,2026-05-05 12:56:44,machine_failure,MF-004,Main drive belt snapped under load; machine halted unexpectedly,PRESS-001-SEN-STR,Ram Stroke Position Sensor,591.2,corrective,Reset PLC fault; replaced faulty I/O module (DI card slot 3),187,OPR-002 (Suzuki M.),2026-05-05 16:56:44,closed,7339.71,Excessive side load on spindle during roughing operation
INC-0130,ROB-004,Robotic Arm KUKA KR 10,Welding Station,2026-05-05 17:36:20,sensor_anomaly,SA-001,Sensor value 15% above normal range; possible early-stage overheating,ROB-004-SEN-CUR,Drive Current Sensor,20.85,predictive,Pre-emptive seal replacement after continuous pressure-drop trend detected,51,OPR-001 (Tanaka K.),2026-05-05 18:59:20,closed,2733.43,Sensor calibration drift after thermal cycling (>200 cycles since last cal.)
INC-0131,ROB-004,Robotic Arm KUKA KR 10,Welding Station,2026-05-06 07:40:21,maintenance_event,ME-004,Scheduled replacement of drive belt and chain per wear-life schedule,ROB-004-SEN-CUR,Drive Current Sensor,4.45,preventive,Calibrated all installed sensors against reference standards,47,MNT-001 (Sato T.),2026-05-06 08:47:21,closed,1571.99,CMMS-generated work order based on predictive alert threshold breach
INC-0132,COMP-001,Air Compressor Atlas Copco,Utility Room,2026-05-06 15:23:17,machine_failure,MF-009,Unusual grinding noise from gearbox; inspection revealed worn gear teeth,COMP-001-SEN-CUR,Motor Current Sensor,58.07,corrective,Replaced failed power supply unit; verified stable 24 VDC output,252,OPR-001 (Tanaka K.),2026-05-06 20:09:17,closed,12160.19,Sustained overload during night shift exceeded rated capacity by 20%
INC-0133,COMP-001,Air Compressor Atlas Copco,Utility Room,2026-05-08 18:16:57,machine_failure,MF-004,Main drive belt snapped under load; machine halted unexpectedly,COMP-001-SEN-PRES,Discharge Pressure Sensor,11.17,corrective,Replaced failed power supply unit; verified stable 24 VDC output,75,OPR-001 (Tanaka K.),2026-05-08 20:15:57,closed,11561.48,Lubrication interval overrun by 40 hours; accelerated bearing wear
INC-0134,CONV-001,Conveyor Belt System,Line A,2026-05-08 21:28:04,maintenance_event,ME-003,"Full sensor calibration, safety relay test, and emergency stop verification",CONV-001-SEN-TENS,Belt Tension Sensor,286.6,preventive,Inspected and replaced worn drive belt; adjusted belt tension to 350 N,149,CMMS-AUTO,2026-05-09 00:06:04,closed,1165.69,Scheduled PM as per 500-hour maintenance plan
INC-0135,PRESS-002,Hydraulic Press 200T,Line B,2026-05-09 07:55:09,maintenance_event,ME-001,"Routine PM per 500 h interval: inspection, lubrication, filter replacement",PRESS-002-SEN-STR,Ram Stroke Position Sensor,275.62,preventive,Inspected and replaced worn drive belt; adjusted belt tension to 350 N,197,CMMS-AUTO,2026-05-09 11:40:09,closed,1242.79,Scheduled PM as per 500-hour maintenance plan
INC-0136,PRESS-002,Hydraulic Press 200T,Line B,2026-05-09 13:34:16,maintenance_event,ME-006,CMMS-triggered early maintenance based on vibration trend alert,PRESS-002-SEN-FORCE,Press Force Sensor,1323.53,preventive,Calibrated all installed sensors against reference standards,156,MNT-002 (Kobayashi R.),2026-05-09 16:40:16,closed,438.53,CMMS-generated work order based on predictive alert threshold breach
INC-0137,ROB-003,Robotic Arm KUKA KR 10,Line B,2026-05-09 16:11:48,maintenance_event,ME-004,Scheduled replacement of drive belt and chain per wear-life schedule,ROB-003-SEN-CUR,Drive Current Sensor,10.17,preventive,Performed full lubrication of all bearing points and guide rails,55,MNT-001 (Sato T.),2026-05-09 17:13:48,closed,189.9,Annual statutory safety inspection requirement
INC-0138,CNC-005,CNC Machining Center V2,Line B,2026-05-10 03:41:16,maintenance_event,ME-004,Scheduled replacement of drive belt and chain per wear-life schedule,CNC-005-SEN-TEMP,Spindle Temperature Sensor,62.05,preventive,Tightened all electrical terminal blocks; replaced degraded cable ties,92,MNT-001 (Sato T.),2026-05-10 05:48:16,closed,336.05,Operator-initiated inspection following anomaly observation
